date,event,description,region,impact
1990-08-02,Iraq Invades Kuwait,Gulf War begins causing supply disruption,Middle East,High
1991-01-17,Operation Desert Storm,Coalition forces attack Iraq,Middle East,High
1997-11-30,OPEC Production Increase,OPEC increases output quotas,Global,Medium
1998-12-01,Asian Financial Crisis,Economic downturn reduces oil demand,Asia,High
2001-09-11,9/11 Attacks,Terrorist attacks create market uncertainty,Global,High
2003-03-20,Iraq War Begins,US-led invasion of Iraq,Middle East,High
2008-07-11,Oil Price Peak,Oil reaches record $147 per barrel,Global,High
2008-09-15,Global Financial Crisis,Lehman collapse triggers crisis,Global,High
2011-02-15,Arab Spring,Political unrest in oil-producing countries,Middle East,Medium
2011-03-11,Japan Earthquake,Tsunami and nuclear crisis reduce demand,Asia,Medium
2014-06-20,ISIS Expansion,ISIS controls oil fields,Middle East,Medium
2014-11-27,OPEC No-Cut Decision,OPEC maintains production,Global,High
2016-01-01,US Shale Revolution,US becomes major oil exporter,North America,High
2020-01-01,COVID-19 Pandemic,Global demand collapse,Global,High
2020-03-06,OPEC+ Price War,Russia-Saudi price war,Global,High
2020-04-20,Negative Oil Prices,Oil futures fall below zero,Global,High
2022-02-24,Russia-Ukraine War,Invasion disrupts energy markets,Global,High
2022-03-08,Sanctions on Russia,Western sanctions restrict oil exports,Global,High
2022-06-02,EU Oil Embargo,EU bans most Russian oil imports,Europe,High
2022-07-15,OPEC Output Constraints,OPEC fails to meet targets,Global,Medium
2022-10-05,OPEC+ Production Cut,OPEC+ cuts output by 2M bpd,Global,High
